mission_time_S,MOOStime_S,metric_total_dist_M,metric_mean_dist_M,deploy
start_MOOStime_S
14080.32062911987,8621344131.071671,349.8939435,17.49469718,1
14085.32689094543,8621344136.077932,353.8403641,17.6920182,1
14090.33930206299,8621344141.090343,356.6646325,17.83323163,1
14095.35961723328,8621344146.110651,359.783394,17.9891697,1
14100.38075256348,8621344151.131794,362.4334548,18.12167274,1
14105.4221572876,8621344156.173199,363.215071,18.16075355,1
14110.45331954956,8621344161.204361,364.2614825,18.21307413,1
14115.46192169189,8621344166.212963,365.9181372,18.29590686,1
14120.47737503052,8621344171.228416,367.8980138,18.39490069,1
14125.51535224915,8621344176.266394,369.8447838,18.49223919,1
14130.52954673767,8621344181.280588,370.2992208,18.51496104,1
14136.03659248352,8621344186.787634,370.6613861,18.53306931,1
14141.05180549622,8621344191.802847,370.9902392,18.54951196,1
14146.11452865601,8621344196.86557,370.5521003,18.52760502,1
14151.17144393921,8621344201.922478,365.5839761,18.27919881,1
14156.17841148376,8621344206.929453,360.0249464,18.00124732,1
14161.19386100769,8621344211.944902,356.2468136,17.81234068,1
14166.21901702881,8621344216.970051,352.640477,17.63202385,1
14171.23501014709,8621344221.986052,349.6713273,17.48356637,1
14176.26376724243,8621344227.014809,343.7077634,17.18538817,1
14181.40948104858,8621344232.160522,333.9365979,16.6968299,1
14186.41571807861,8621344237.166759,324.4539128,16.22269564,1
14191.42283248901,8621344242.173874,314.9264373,15.74632186,1
14196.50602722168,8621344247.257069,312.78561,15.6392805,1
14201.55637550354,8621344252.307417,306.2259699,15.3112985,1
14206.56397628784,8621344257.315018,303.7191315,15.18595657,1
14211.57159423828,8621344262.322636,300.7135561,15.03567781,1
14216.72414207458,8621344267.475183,298.3660216,14.91830108,1
14221.73792266846,8621344272.488964,296.7852749,14.83926374,1
14226.83333206177,8621344277.584373,296.5335413,14.82667706,1
14232.11456871033,8621344282.86561,299.1223544,14.95611772,1
14237.16434288025,8621344287.915384,302.7731471,15.13865736,1
14242.27856826782,8621344293.02961,310.8935457,15.54467729,1
14247.31583404541,8621344298.066875,314.790901,15.73954505,1
14252.37830352783,8621344303.129345,321.0953686,16.05476843,1
14257.41352653503,8621344308.164568,325.0454257,16.25227129,1
14262.42051506042,8621344313.171556,326.7694608,16.33847304,1
14267.42766952515,8621344318.178711,323.578534,16.1789267,1
14272.59827232361,8621344323.349314,321.7519308,16.08759654,1
14277.6188621521,8621344328.369904,317.6938599,15.88469299,1
14282.62949180603,8621344333.380533,315.8417319,15.79208659,1
14287.89410972595,8621344338.645151,312.8772599,15.64386299,1
14292.90487098694,8621344343.655912,314.2663367,15.71331683,1
14297.91171455383,8621344348.662756,318.8156003,15.94078001,1
14302.99414634705,8621344353.745188,321.4349417,16.07174708,1
14308.00193214417,8621344358.752968,323.957009,16.19785045,1
14313.0083026886,8621344363.759344,325.7589566,16.28794783,1
14318.03539657593,8621344368.786432,326.4365524,16.32182762,1
14323.04222869873,8621344373.79327,327.07256,16.353628,1
14328.06149291992,8621344378.812534,328.0647369,16.40323684,1
14333.07460784912,8621344383.825649,328.982049,16.44910245,1
14338.08638191223,8621344388.837423,329.7863043,16.48931522,1
14343.15379714966,8621344393.904839,330.6259939,16.53129969,1
14348.16229629517,8621344398.913338,331.4732088,16.57366044,1
14353.170753479,8621344403.921795,332.5049638,16.62524819,1
14358.17869758606,8621344408.929739,331.6651405,16.58325702,1
14363.19971847534,8621344413.95076,328.9097415,16.44548707,1
14368.21212387085,8621344418.963165,326.1827414,16.30913707,1
14373.23312187195,8621344423.984163,324.5407469,16.22703735,1
14378.2648601532,8621344429.015902,327.0265752,16.35132876,1
14383.27090072632,8621344434.021942,328.6659148,16.43329574,1
14388.27814102173,8621344439.029182,330.7775683,16.53887842,1
14393.28933525085,8621344444.040377,329.7130501,16.4856525,1
14398.29724693298,8621344449.048288,328.6754591,16.43377295,1
14403.30501365662,8621344454.056049,324.1855855,16.20927927,1
14408.33148574829,8621344459.082527,320.360633,16.01803165,1
14413.3844871521,8621344464.135529,321.3810298,16.06905149,1
14418.39070510864,8621344469.141747,324.091329,16.20456645,1
14423.39872741699,8621344474.149769,328.1129602,16.40564801,1
14428.40623664856,8621344479.157278,333.5403821,16.67701911,1
14433.41328430176,8621344484.164326,335.7284369,16.78642185,1
14438.42095184326,8621344489.171993,337.9563797,16.89781899,1
14443.42769813538,8621344494.17874,341.1249618,17.05624809,1
14448.47888183594,8621344499.229923,344.5618141,17.2280907,1
14453.48654174805,8621344504.237583,348.1241566,17.40620783,1
14458.49326705933,8621344509.244301,351.4489412,17.57244706,1
14463.49934959412,8621344514.250391,354.2032859,17.7101643,1
14468.50752449036,8621344519.258566,355.6973544,17.78486772,1
14473.51668548584,8621344524.267719,356.9677827,17.84838914,1
14478.54404258728,8621344529.295084,357.445869,17.87229345,1
14483.54936218262,8621344534.300404,357.2467347,17.86233674,1
14488.70545578003,8621344539.456497,352.8950989,17.64475494,1
14493.71327209473,8621344544.464314,349.5921122,17.47960561,1
14498.72059631348,8621344549.471638,344.8881004,17.24440502,1
14503.72713470459,8621344554.478176,334.6595366,16.73297683,1
14508.73393630981,8621344559.484978,324.3191981,16.2159599,1
14513.74004745483,8621344564.491089,316.3090112,15.81545056,1
14518.77638816833,8621344569.52743,314.2601397,15.71300699,1
14523.84949684143,8621344574.600538,318.3076006,15.91538003,1
14528.91265106201,8621344579.663692,322.5352607,16.12676304,1
14533.91972351074,8621344584.670765,328.025077,16.40125385,1
14539.42783737183,8621344590.178879,331.8841495,16.59420747,1
14544.43671417236,8621344595.187756,334.3775517,16.71887758,1
14549.44336700439,8621344600.194408,335.0568723,16.75284361,1
14554.71780967712,8621344605.468851,334.8185316,16.74092658,1
14559.72760009766,8621344610.478642,332.0541695,16.60270847,1
14564.77201080322,8621344615.523052,330.2629932,16.51314966,1
14569.77868080139,8621344620.529722,326.117949,16.30589745,1
14574.78461837769,8621344625.535654,324.067964,16.2033982,1
14579.79551887512,8621344630.54656,321.2715144,16.06357572,1
14584.80280685425,8621344635.553848,318.1333248,15.90666624,1
14589.80870819092,8621344640.55975,315.8834415,15.79417207,1
14594.81522369385,8621344645.566265,313.2652771,15.66326386,1
